Name,Date,Location,Type,Region,URL,Latitude,Longitude,Weather
Sasha LaPointe,3/11/2024,Town Hall Seattle,Readings & Lectures,Downtown,,47.6090191,-122.32993774092222,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. Southwest wind around 5 mph."
Wild Cats Revealed | National Geographic Live,3/10/2024 through 3/12/2024,Benaroya Hall,Readings & Lectures,Downtown,,47.60811665,-122.33697040702705,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
Seattle Kraken vs. Vegas Golden Knights,3/12/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"Mostly cloudy. High near 53, with temperatures falling to around 51 in the afternoon. South wind around 5 mph."
Special EFX All Stars,3/12/2024,The Triple Door,Music,Downtown,,47.6086439,-122.337685,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
Black Uhuru,3/13/2024,Nectar Lounge,Music,Fremont / Ballard,,47.6523876,-122.3538541520202,"A chance of rain. Mostly cloudy. High near 52, with temperatures falling to around 50 in the afternoon. South southwest wind around 5 mph. Chance of precipitation is 30%."
Cat Power,3/13/2024,The Moore Theatre,Music,Downtown,,42.2896932,-83.7207314,"Rain showers. Cloudy, with a high near 48. Southeast wind around 9 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
Cody Bartels,3/13/2024,High Dive,Music,Fremont / Ballard,,41.7111511,-93.631911,"A slight chance of rain before 5pm. Mostly cloudy, with a high near 40. North wind around 20 mph, with gusts as high as 28 mph. Chance of precipitation is 20%."
Eyedress,3/13/2024,The Showbox,Music,Downtown,,47.6085136,-122.3394726,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
Kendra Morris,3/13/2024,Sunset Tavern,Music,Fremont / Ballard,,36.0254577,-114.9637699,"Sunny, with a high near 66. North northeast wind 10 to 14 mph, with gusts as high as 21 mph."
My Dinner with SAM,3/13/2024,Seattle Art Museum,Museums,Downtown,,47.6077008,-122.3385575,"Mostly cloudy, with a high near 53. South southwest wind around 3 mph."
